long,lat,left,bottom,right,top
-123.9,47.7,-123.9,47.7,-123.9,47.7
-123.9,47.4,-123.9,47.4,-123.9,47.4
-123.9,47.1,-123.9,47.1,-123.9,47.1
-123.9,46.8,-123.9,46.8,-123.9,46.8
-124.2,47.7,-124.2,47.7,-124.2,47.7
-124.2,47.4,-124.2,47.4,-124.2,47.4
-124.2,47.1,-124.2,47.1,-124.2,47.1
-124.2,48.3,-124.2,48.3,-124.2,48.3
-124.2,48,-124.2,48,-124.2,48
-124.5,48.3,-124.5,48.3,-124.5,48.3
-124.5,48,-124.5,48,-124.5,48
-124.5,47.7,-124.5,47.7,-124.5,47.7
-123.3,48,-123.3,48,-123.3,48
-123.3,47.7,-123.3,47.7,-123.3,47.7
-123.3,47.4,-123.3,47.4,-123.3,47.4
-123.3,47.1,-123.3,47.1,-123.3,47.1
-123.3,46.8,-123.3,46.8,-123.3,46.8
-122.7,48,-122.7,48,-122.7,48
-122.7,47.7,-122.7,47.7,-122.7,47.7
-122.7,47.4,-122.7,47.4,-122.7,47.4
-123.6,48,-123.6,48,-123.6,48
-123.6,47.7,-123.6,47.7,-123.6,47.7
-123.6,47.4,-123.6,47.4,-123.6,47.4
-123,48.3,-123,48.3,-123,48.3
-124.8,48,-124.8,48,-124.8,48
-123,48,-123,48,-123,48
-123,47.7,-123,47.7,-123,47.7
-123,47.4,-123,47.4,-123,47.4
-123.6,47.1,-123.6,47.1,-123.6,47.1
-123.6,46.8,-123.6,46.8,-123.6,46.8
-123.9,48,-123.9,48,-123.9,48
