,"(47.49354099999989, -122.16306800000015)","(47.2435409999999, -122.41306800000014)","(47.2935409999999, -122.31306800000014)","(47.44354099999989, -122.21306800000015)","(47.44354099999989, -122.31306800000014)","(47.543540999999884, -122.11306800000015)","(47.64354099999988, -122.16306800000015)","(47.64354099999988, -122.11306800000015)","(47.543540999999884, -122.31306800000014)","(47.543540999999884, -122.26306800000015)","(47.543540999999884, -122.21306800000015)","(47.543540999999884, -122.16306800000015)","(47.343540999999895, -122.31306800000014)","(47.44354099999989, -122.26306800000015)","(47.59354099999988, -122.31306800000014)","(47.59354099999988, -122.26306800000015)","(47.59354099999988, -122.21306800000015)","(47.59354099999988, -122.16306800000015)","(47.39354099999989, -122.31306800000014)","(47.59354099999988, -122.11306800000015)","(47.39354099999989, -122.26306800000015)","(47.39354099999989, -122.21306800000015)","(47.39354099999989, -122.16306800000015)","(47.2935409999999, -122.41306800000014)","(47.2935409999999, -122.36306800000014)","(47.49354099999989, -122.26306800000015)","(47.49354099999989, -122.21306800000015)"
"(47.49354099999989, -122.16306800000015)",0,2232,1801,1107,1484,1160,1689,1777,1443,1765,1893,674,1618,1285,1862,1273,1385,1290,1478,1471,1411,1491,1695,2607,2346,1400,862
"(47.2435409999999, -122.41306800000014)",2232,0,828,1717,1835,2999,3029,3125,2076,2419,3195,2511,1290,1696,2501,2528,2720,2617,1484,2788,1423,1903,2264,1125,1254,2095,2306
"(47.2935409999999, -122.31306800000014)",1801,828,0,1235,1350,2526,2553,2648,1585,1917,2686,2042,733,1206,2004,2029,2246,2143,1013,2319,964,1409,1762,909,633,1604,1842
"(47.44354099999989, -122.21306800000015)",1107,1717,1235,0,1236,1608,1637,1725,1191,1498,1838,1129,1538,726,1622,1218,1334,1236,1228,1419,853,932,1030,2031,1707,955,1013
"(47.44354099999989, -122.31306800000014)",1484,1835,1350,1236,0,1887,1917,2009,843,1317,2118,1402,1123,756,1450,1469,1615,1514,958,1691,1111,1437,1640,2105,1832,1025,1235
"(47.543540999999884, -122.11306800000015)",1160,2999,2526,1608,1887,0,1525,1612,1775,2411,1691,564,2417,2103,1608,1082,1198,1097,2274,914,2219,2296,2486,3426,3156,2145,1560
"(47.64354099999988, -122.16306800000015)",1689,3029,2553,1637,1917,1525,0,736,1708,2341,1531,1061,2379,2067,1442,928,920,770,2238,956,2183,2259,2451,3390,3119,2110,1527
"(47.64354099999988, -122.11306800000015)",1777,3125,2648,1725,2009,1612,736,0,1891,2531,1721,1243,2587,2269,1638,1110,1101,951,2437,646,2381,2458,2647,3601,3334,2307,1716
"(47.543540999999884, -122.31306800000014)",1443,2076,1585,1191,843,1775,1708,1891,0,870,1534,1464,1409,1120,899,903,1345,1291,1278,1531,1388,1768,1968,2401,2138,737,1357
"(47.543540999999884, -122.26306800000015)",1765,2419,1917,1498,1317,2411,2341,2531,870,0,1977,1935,1736,1445,1299,1328,1799,1710,1596,1982,1707,2097,2291,2733,2469,904,1362
"(47.543540999999884, -122.21306800000015)",1893,3195,2686,1838,2118,1691,1531,1721,1534,1977,0,1258,2532,2252,1268,753,1153,1096,2384,1333,2425,2502,2690,3543,3278,1848,1757
"(47.543540999999884, -122.16306800000015)",674,2511,2042,1129,1402,564,1061,1243,1464,1935,1258,0,1905,1590,1156,640,755,628,1765,834,1707,1786,1983,2907,2639,1632,1078
"(47.343540999999895, -122.31306800000014)",1618,1290,733,1538,1123,2417,2379,2587,1409,1736,2532,1905,0,1130,1924,1948,2156,2054,664,2230,888,1337,1687,1361,858,1522,1757
"(47.44354099999989, -122.26306800000015)",1285,1696,1206,726,756,2103,2067,2269,1120,1445,2252,1590,1130,0,1595,1551,1661,1561,997,1737,815,1247,1466,2104,1830,1048,1279
"(47.59354099999988, -122.31306800000014)",1862,2501,2004,1622,1450,1608,1442,1638,899,1299,1268,1156,1924,1595,0,309,750,693,1901,926,1980,2060,2254,3047,2774,1377,1336
"(47.59354099999988, -122.26306800000015)",1273,2528,2029,1218,1469,1082,928,1110,903,1328,753,640,1948,1551,309,0,1101,1045,1574,1280,1683,2075,2269,2710,2447,1067,1705
"(47.59354099999988, -122.21306800000015)",1385,2720,2246,1334,1615,1198,920,1101,1345,1799,1153,755,2156,1661,750,1101,0,594,1995,888,1937,2015,2212,3147,2869,1671,1293
